Month,Area Affected,Event Type,Demand Loss (MW),Number of Customers Affected,Year,Datetime Event Began,Datetime of Restoration,Event Duration (hours)
May,Missouri,Actual Physical Attack,0,0,2022,2022-05-21 21:53:00,2022-05-22 00:28:00,3
May,Texas,Severe Weather,,52172,2022,2022-05-22 02:30:00,2022-05-22 18:52:00,16
May,Maine,System Operations,0,0,2022,2022-05-22 22:40:00,2022-05-22 23:16:00,1
May,California,Actual Physical Attack,0,0,2022,2022-05-25 06:42:00,2022-05-25 06:43:00,0
May,Arizona,System Operations,0,0,2022,2022-05-27 07:56:00,2022-05-27 08:38:00,1
May,Ohio,Suspicious Activity,0,0,2022,2022-05-27 05:19:00,2022-05-27 06:00:00,1
May,Pennsylvania,Transmission Interruption,0,0,2022,2022-05-29 16:41:00,2022-05-31 11:29:00,43
May,Pennsylvania,System Operations,0,0,2022,2022-05-29 01:18:00,2022-05-29 01:50:00,1
May,California,System Operations,0,0,2022,2022-05-30 14:10:00,2022-05-31 05:58:00,16
May,Texas,Vandalism,0,0,2022,2022-05-31 13:58:00,2022-05-31 13:59:00,0
June,Utah,Vandalism,0,0,2022,2022-06-01 10:47:00,2022-06-01 10:48:00,0
June,California,Vandalism,0,0,2022,2022-06-02 08:20:00,,
June,Georgia,Vandalism,0,0,2022,2022-06-03 03:48:00,2022-06-03 03:49:00,0
June,Texas,Generation Inadequacy,0,0,2022,2022-06-04 12:59:00,2022-06-05 02:15:00,13
June,California,Generation Inadequacy,,,2022,2022-06-05 15:20:00,2022-06-05 20:12:00,5
June,California,System Operations,13,4000,2022,2022-06-06 10:21:00,2022-06-06 10:24:00,0
June,Missouri,Severe Weather Transmission Interruption,,91188,2022,2022-06-08 01:00:00,2022-06-08 06:00:00,5
June,Kansas,Severe Weather,,62000,2022,2022-06-08 00:00:00,2022-06-08 04:00:00,4
June,Missouri,Severe Weather Distribution Interruption,,60000,2022,2022-06-08 01:00:00,2022-06-08 04:00:00,3
June,Texas,Suspicious Activity,0,0,2022,2022-06-09 02:33:00,2022-06-09 06:49:00,4
June,Oregon,Vandalism,0,0,2022,2022-06-09 07:00:00,2022-06-09 07:05:00,0
June,Texas,Actual Physical Attack Vandalism,0,0,2022,2022-06-10 12:08:00,2022-06-10 21:30:00,9
June,California,System Operations,100,39094,2022,2022-06-10 20:27:00,2022-06-10 21:30:00,1
June,California,System Operations,100,,2022,2022-06-10 20:20:00,2022-06-10 20:28:00,0
June,California,System Operations,13437,445,2022,2022-06-10 08:45:00,,
June,Ohio,Severe Weather Transmission Interruption,14000,100000,2022,2022-06-12 23:30:00,2022-06-13 23:30:00,24
June,Ohio,Severe Weather Transmission Interruption,,162551,2022,2022-06-13 18:00:00,2022-06-14 18:15:00,24
June,Michigan,System Operations,0,0,2022,2022-06-13 23:54:00,2022-06-14 00:45:00,1
June,Ohio,System Operations,373,,2022,2022-06-14 13:46:00,,
June,Washington,Actual Physical Attack Vandalism,0,0,2022,2022-06-14 00:00:00,2022-06-14 06:00:00,6
June,Wisconsin,Severe Weather,90,57000,2022,2022-06-15 21:00:00,,
June,Michigan,System Operations,0,0,2022,2022-06-15 10:45:00,2022-06-15 13:45:00,3
June,North Carolina,Severe Weather,,77908,2022,2022-06-16 16:31:00,2022-06-16 20:07:00,4
June,Washington,Suspicious Activity,35,7500,2022,2022-06-16 03:51:00,2022-06-16 06:30:00,3
June,North Carolina,Severe Weather,,44000,2022,2022-06-17 18:45:00,2022-06-18 13:32:00,19
June,West Virginia,Severe Weather,,150000,2022,2022-06-17 17:30:00,2022-06-19 21:15:00,52
June,North Carolina,Severe Weather,,91056,2022,2022-06-17 17:37:00,2022-06-18 00:54:00,7
June,Illinois,Severe Weather,,80000,2022,2022-06-17 06:02:00,,
June,Minnesota,System Operations,0,15604,2022,2022-06-20 12:54:00,2022-06-20 14:23:00,1
June,Virginia,Severe Weather Distribution Interruption,,100000,2022,2022-06-22 16:56:00,2022-06-23 02:00:00,9
June,New Jersey,Suspicious Activity,0,0,2022,2022-06-23 12:41:00,2022-06-23 13:41:00,1
June,California,Fuel Supply Deficiency,0,0,2022,2022-06-23 10:55:00,,
June,Louisiana,Fuel Supply Deficiency,,,2022,2022-06-24 23:09:00,2022-06-25 00:00:00,1
June,Nevada,Vandalism,0,0,2022,2022-06-26 17:05:00,2022-06-26 22:42:00,6
June,Michigan,System Operations,0,0,2022,2022-06-27 17:07:00,2022-06-28 01:42:00,9
June,Texas,Severe Weather,14,2491,2022,2022-06-27 14:26:00,2022-06-28 03:56:00,14
June,Texas,System Operations,0,0,2022,2022-06-27 06:21:00,2022-06-27 07:26:00,1
June,Texas,System Operations,0,0,2022,2022-06-28 09:27:00,2022-06-28 10:42:00,1
June,Kentucky,Suspicious Activity,0,0,2022,2022-06-28 09:39:00,2022-06-28 09:40:00,0
June,Michigan,System Operations,0,0,2022,2022-06-30 19:58:00,2022-06-30 20:50:00,1
July,California,Vandalism,20,0,2022,2022-07-01 11:45:00,,
July,California,Vandalism,0,0,2022,2022-07-03 10:30:00,2022-07-03 10:40:00,0
July,Oklahoma,Vandalism,0,0,2022,2022-07-03 05:18:00,2022-07-03 08:24:00,3
July,California,Actual Physical Attack,,1079,2022,2022-07-03 11:02:00,,
July,California,System Operations,3,3001,2022,2022-07-04 18:21:00,,
July,Washington,Actual Physical Attack,0,0,2022,2022-07-05 08:00:00,2022-07-05 08:06:00,0
July,Iowa,System Operations,0,0,2022,2022-07-05 20:46:00,2022-07-05 21:40:00,1
July,Ohio,Severe Weather Transmission Interruption,,104700,2022,2022-07-06 14:39:00,2022-07-07 03:54:00,13
July,Virginia,Suspicious Activity,0,0,2022,2022-07-06 16:23:00,2022-07-06 16:35:00,0
July,Kentucky,Vandalism,0,0,2022,2022-07-06 06:18:00,2022-07-06 06:19:00,0
July,Utah,Vandalism,0,0,2022,2022-07-06 12:40:00,2022-07-06 12:41:00,0
July,Oklahoma,Actual Physical Attack,25,4836,2022,2022-07-06 01:58:00,,
July,Louisiana,System Operations,,4724,2022,2022-07-09 02:47:00,2022-07-09 02:59:00,0
July,Texas,System Operations,,,2022,2022-07-10 21:00:00,2022-07-11 20:00:00,23
July,California,Vandalism,2,0,2022,2022-07-11 10:20:00,,
July,Maryland,Severe Weather,800,165000,2022,2022-07-12 16:00:00,,
July,Washington,Actual Physical Attack,0,0,2022,2022-07-12 10:45:00,2022-07-12 11:00:00,0
July,District of Columbia,Severe Weather,,50200,2022,2022-07-12 18:00:00,2022-07-12 22:00:00,4
July,Texas,System Operations,,,2022,2022-07-13 11:30:00,2022-07-13 21:00:00,10
July,Colorado,Vandalism,0,0,2022,2022-07-13 10:00:00,2022-07-13 13:00:00,3
July,Nebraska,Actual Physical Attack,0,0,2022,2022-07-15 07:10:00,2022-07-15 07:11:00,0
July,South Carolina,Fuel Supply Deficiency,4500,0,2022,2022-07-18 09:15:00,,
July,Oregon,Vandalism,0,0,2022,2022-07-18 13:09:00,2022-07-18 13:11:00,0
July,Florida,System Operations,0,0,2022,2022-07-19 15:42:00,2022-07-19 16:12:00,0
July,Michigan,Severe Weather,,93750,2022,2022-07-23 20:45:00,2022-07-24 11:30:00,15
July,Pennsylvania,Transmission Interruption,0,0,2022,2022-07-25 00:38:00,2022-07-25 13:46:00,13
July,Texas,System Operations,0,0,2022,2022-07-26 06:38:00,2022-07-26 12:57:00,6
July,California,Suspicious Activity,,,2022,2022-07-26 04:20:00,2022-07-26 04:57:00,1
July,Pennsylvania,Suspicious Activity,0,0,2022,2022-07-26 21:00:00,2022-07-26 21:20:00,0
July,California,Actual Physical Attack,0,0,2022,2022-07-28 19:25:00,2022-07-28 22:41:00,3
July,Pennsylvania,Suspicious Activity,0,0,2022,2022-07-29 02:00:00,2022-07-29 02:01:00,0
July,California,System Operations,0,0,2022,2022-07-30 19:35:00,2022-08-01 13:17:00,42
July,New York,System Operations,0,0,2022,2022-07-31 06:36:00,2022-07-31 07:13:00,1
August,Georgia,Vandalism,0,0,2022,2022-08-01 09:44:00,2022-08-01 09:45:00,0
August,California,Actual Physical Attack,0,0,2022,2022-08-01 08:03:00,2022-08-01 09:00:00,1
August,Texas,Suspicious Activity,0,0,2022,2022-08-03 02:00:00,2022-08-03 03:07:00,1
August,Minnesota,Severe Weather,,80000,2022,2022-08-03 02:30:00,,
August,Michigan,Severe Weather,,71000,2022,2022-08-03 19:00:00,2022-08-05 08:53:00,38
August,Michigan,Severe Weather,,91264,2022,2022-08-03 17:00:00,2022-08-03 20:30:00,4
August,Maryland,Severe Weather,,75500,2022,2022-08-04 18:00:00,2022-08-05 02:00:00,8
August,Washington,Vandalism,0,0,2022,2022-08-05 14:52:00,2022-08-05 16:41:00,2
August,Washington,Actual Physical Attack,3,350,2022,2022-08-05 02:00:00,2022-08-05 06:30:00,4
August,Washington,Vandalism,0,0,2022,2022-08-09 15:18:00,2022-08-09 15:19:00,0
August,Ohio,System Operations,,62464,2022,2022-08-09 16:42:00,2022-08-09 22:12:00,6
August,Missouri,System Operations,0,0,2022,2022-08-09 02:29:00,2022-08-09 03:00:00,1
August,Florida,System Operations,0,0,2022,2022-08-09 12:12:00,2022-08-09 13:08:00,1
August,Arkansas,Severe Weather,24,0,2022,2022-08-10 01:25:00,2022-08-10 01:30:00,0
August,Alabama,Vandalism,0,0,2022,2022-08-10 15:00:00,2022-08-10 15:01:00,0
August,Texas,Severe Weather,,140464,2022,2022-08-10 19:56:00,2022-08-11 20:00:00,24
August,Georgia,Vandalism,0,0,2022,2022-08-12 14:46:00,2022-08-12 14:47:00,0
August,Wyoming,Transmission Interruption,0,5000,2022,2022-08-15 23:43:00,2022-08-16 07:14:00,8
August,Nevada,Vandalism,0,0,2022,2022-08-15 09:08:00,2022-08-15 09:10:00,0
August,New Jersey,Transmission Interruption,,0,2022,2022-08-15 10:24:00,2022-08-15 12:49:00,2
August,Ohio,System Operations,,,2022,2022-08-18 18:05:00,2022-08-18 21:39:00,4
August,Massachusetts,Actual Physical Attack,0,0,2022,2022-08-19 17:40:00,2022-08-19 17:41:00,0
August,Washington,Cyber Event,0,0,2022,2022-08-19 22:00:00,2022-08-20 11:30:00,14
August,California,Vandalism,0,0,2022,2022-08-22 09:47:00,2022-08-22 09:48:00,0
August,Texas,System Operations,24,6385,2022,2022-08-22 12:46:00,2022-08-22 13:09:00,0
August,Texas,Severe Weather,0,0,2022,2022-08-22 20:40:00,2022-08-22 21:57:00,1
August,California,Vandalism,0,0,2022,2022-08-24 14:20:00,2022-08-24 14:21:00,0
August,California,Vandalism,0,0,2022,2022-08-25 00:59:00,2022-08-25 01:00:00,0
August,California,Vandalism,0,0,2022,2022-08-26 11:09:00,2022-08-26 11:10:00,0
August,Maine,System Operations,0,0,2022,2022-08-27 02:21:00,2022-08-27 19:14:00,17
August,New York,System Operations,0,0,2022,2022-08-28 04:59:00,2022-08-28 06:06:00,1
August,Michigan,Severe Weather,,197740,2022,2022-08-29 15:00:00,2022-09-01 09:00:00,66
August,Michigan,Severe Weather,,,2022,2022-08-29 17:50:00,,
August,Texas,Suspicious Activity,0,0,2022,2022-08-29 10:45:00,2022-08-29 11:45:00,1
August,Florida,Vandalism,10,3000,2022,2022-08-31 09:58:00,2022-08-31 12:15:00,2
September,California,Severe Weather,242,44000,2022,2022-09-01 15:00:00,2022-09-01 21:00:00,6
September,Texas,Severe Weather,,190000,2022,2022-09-04 16:00:00,2022-09-06 08:00:00,40
September,California,Cyber Event,0,0,2022,2022-09-04 18:50:00,2022-09-05 02:45:00,8
September,California,System Operations,,0,2022,2022-09-05 06:05:00,2022-09-05 21:00:00,15
September,California,Vandalism,0,0,2022,2022-09-06 16:30:00,2022-09-07 00:30:00,8
September,Texas,Suspicious Activity,0,0,2022,2022-09-06 06:00:00,2022-09-06 06:22:00,0
September,California,System Operations,,0,2022,2022-09-06 10:34:00,2022-09-06 21:00:00,10
September,California,Severe Weather,272,44000,2022,2022-09-06 16:00:00,2022-09-06 21:00:00,5
September,Idaho,System Operations,,,2022,2022-09-06 19:20:00,2022-09-06 21:01:00,2
September,Nevada,System Operations,8800,1300000,2022,2022-09-06 17:00:00,2022-09-06 20:00:00,3
September,Florida,Cyber Event,0,0,2022,2022-09-07 13:45:00,2022-09-07 19:00:00,5
September,California,System Operations,,0,2022,2022-09-07 11:31:00,2022-09-07 21:00:00,9
September,California,Vandalism,0,0,2022,2022-09-07 13:00:00,,
September,Nevada,System Operations,8600,1300000,2022,2022-09-07 17:00:00,2022-09-07 20:00:00,3
September,California,Severe Weather,257,44000,2022,2022-09-07 16:00:00,2022-09-07 21:00:00,5
September,California,System Operations,,0,2022,2022-09-08 10:52:00,2022-09-09 21:00:00,34
September,California,Severe Weather,258,44000,2022,2022-09-08 11:54:00,2022-09-08 21:00:00,9
September,Nevada,System Operations,8250,1300000,2022,2022-09-08 17:00:00,2022-09-08 20:00:00,3
September,California,Severe Weather,257,44000,2022,2022-09-09 16:00:00,2022-09-09 21:00:00,5
September,Indiana,Suspicious Activity,,,2022,2022-09-10 22:30:00,2022-09-10 22:31:00,0
September,Texas,Transmission Interruption,0,0,2022,2022-09-11 18:19:00,2022-09-11 22:28:00,4
September,Texas,Severe Weather,0,0,2022,2022-09-13 19:55:00,2022-09-13 20:01:00,0
September,Texas,Transmission Interruption,0,0,2022,2022-09-15 19:52:00,2022-09-15 21:31:00,2
September,Oregon,Transmission Interruption,0,0,2022,2022-09-16 18:30:00,2022-09-16 23:15:00,5
September,Utah,Suspicious Activity,0,0,2022,2022-09-16 18:00:00,2022-09-16 18:01:00,0
September,Texas,Vandalism,,1521,2022,2022-09-21 16:19:00,2022-09-21 18:01:00,2
September,Florida,Vandalism,,,2022,2022-09-22 03:58:00,2022-09-22 04:00:00,0
September,California,Vandalism,1,0,2022,2022-09-22 10:02:00,2022-09-22 11:00:00,1
September,California,Vandalism,2,0,2022,2022-09-23 10:10:00,2022-09-23 11:00:00,1
September,California,Vandalism,1,0,2022,2022-09-27 08:42:00,2022-09-27 10:00:00,1
September,Florida,Severe Weather,,676000,2022,2022-09-28 15:00:00,2022-10-03 15:53:00,121
September,Florida,Severe Weather,1000,116937,2022,2022-09-28 18:00:00,2022-09-30 15:20:00,45
September,Florida,Severe Weather,750,291361,2022,2022-09-28 15:00:00,,
September,Florida,Severe Weather,0,0,2022,2022-09-29 04:00:00,2022-10-03 00:00:00,92
September,Florida,Severe Weather,150,15797,2022,2022-09-29 03:27:00,,
September,North Carolina,Severe Weather,,154100,2022,2022-09-30 18:30:00,2022-10-01 18:36:00,24
September,South Carolina,Severe Weather,,108930,2022,2022-09-30 13:46:00,2022-09-30 18:09:00,4
September,North Carolina,Severe Weather,,48323,2022,2022-09-30 02:45:00,2022-10-01 16:15:00,38
September,California,Vandalism,2,0,2022,2022-09-30 11:00:00,2022-09-30 12:00:00,1
October,Alabama,Suspicious Activity,0,0,2022,2022-10-03 06:00:00,2022-10-04 07:00:00,25
October,California,Vandalism,1,0,2022,2022-10-03 13:45:00,2022-10-03 14:30:00,1
October,New York,Suspicious Activity,100,0,2022,2022-10-08 16:23:00,2022-10-08 16:50:00,0
October,Texas,Vandalism,,0,2022,2022-10-10 15:50:00,2022-10-10 16:05:00,0
October,California,Vandalism,1,0,2022,2022-10-13 10:00:00,2022-10-13 11:00:00,1
October,Connecticut,Sever Weather,,76388,2022,2022-10-14 13:15:00,2022-10-14 17:45:00,4
October,Texas,Cyber Event,0,0,2022,2022-10-14 13:30:00,,
October,Arizona,System Operations,0,0,2022,2022-10-15 09:52:00,2022-10-15 10:23:00,1
October,Louisiana,System Operations,69,16225,2022,2022-10-15 20:04:00,2022-10-18 16:03:00,68
October,Texas,Vandalism,,,2022,2022-10-18 15:12:00,,
October,California,Suspicious Activity,0,0,2022,2022-10-21 11:15:00,2022-10-21 11:18:00,0
October,Massachusetts,Cyber Event,0,0,2022,2022-10-24 00:00:00,2022-10-28 00:00:00,96
October,Texas,System Operations,34,7551,2022,2022-10-24 16:29:00,2022-10-24 18:05:00,2
October,Texas,System Operations,,109865,2022,2022-10-25 01:45:00,2022-10-25 13:50:00,12
October,Texas,System Operations,0,0,2022,2022-10-26 19:32:00,2022-10-26 20:38:00,1
October,Arkansas,Vandalism,,0,2022,2022-10-27 00:01:00,2022-10-27 13:00:00,13
October,California,Vandalism,2,0,2022,2022-10-28 14:16:00,2022-10-28 15:00:00,1
October,Louisiana,Suspicious Activity,,0,2022,2022-10-31 21:14:00,2022-10-31 22:14:00,1
November,Texas,Suspicious Activity,0,0,2022,2022-11-02 15:11:00,2022-11-02 15:25:00,0
November,Washington,Transmission Interruption,0,0,2022,2022-11-03 12:07:00,2022-11-03 14:24:00,2
November,Washington,Severe Weather,,214000,2022,2022-11-04 20:05:00,2022-11-07 09:00:00,61
November,Michigan,Severe Weather,,158450,2022,2022-11-05 13:00:00,2022-11-08 07:00:00,66
November,Michigan,Severe Weather,,53000,2022,2022-11-05 19:57:00,,
November,Wisconsin,Severe Weather,,50000,2022,2022-11-05 19:00:00,,
November,Texas,Transmission Interruption,0,0,2022,2022-11-08 15:48:00,2022-11-08 16:21:00,1
November,Arkansas,Generation Inadequacy,0,0,2022,2022-11-10 11:07:00,2022-11-10 12:00:00,1
November,Florida,Severe Weather,,160000,2022,2022-11-10 06:00:00,2022-11-11 08:47:00,27
November,California,Vandalism,,,2022,2022-11-11 01:00:00,2022-11-11 05:00:00,4
November,Ohio,Actual Physical Attack Vandalism,7,1775,2022,2022-11-11 01:41:00,2022-11-14 14:00:00,84
November,Massachusetts,System Operations,0,0,2022,2022-11-15 10:17:00,2022-11-15 11:06:00,1
November,Oregon,Vandalism,0,0,2022,2022-11-15 01:00:00,2022-11-15 06:00:00,5
November,Washington,Actual Physical Attack Vandalism,3,1454,2022,2022-11-18 04:30:00,2022-11-18 04:59:00,0
November,Maine,System Operations,0,0,2022,2022-11-22 10:01:00,2022-11-22 10:43:00,1
November,Texas,Suspicious Activity,0,0,2022,2022-11-23 07:03:00,2022-11-23 08:57:00,2
November,Washington,Actual Physical Attack Vandalism,0,0,2022,2022-11-23 10:15:00,2022-11-23 14:09:00,4
November,Michigan,System Operations,0,0,2022,2022-11-23 12:46:00,2022-11-23 13:19:00,1
November,Maryland,Cyber Event,,,2022,2022-11-23 09:30:00,,
November,Oregon,Vandalism,0,0,2022,2022-11-24 01:40:00,2022-11-24 01:45:00,0
November,California,Actual Physical Attack Vandalism,0,0,2022,2022-11-25 05:00:00,2022-11-25 08:00:00,3
November,Maryland,Transmission Interruption,190,87500,2022,2022-11-27 17:28:00,2022-11-27 23:58:00,6
November,Oregon,Actual Physical Attack Vandalism,,6337,2022,2022-11-28 01:08:00,2022-11-28 02:24:00,1
November,Maine,Severe Weather,113,113000,2022,2022-11-30 18:45:00,2022-12-02 04:00:00,33
November,New York,System Operations,0,0,2022,2022-11-30 02:37:00,2022-11-30 06:10:00,4
November,Alabama,Severe Weather,386,54110,2022,2022-11-30 03:35:00,2022-11-30 09:10:00,6
December,North Carolina,Vandalism,99,45000,2022,2022-12-03 19:51:00,,
December,Pennsylvania,Suspicious Activity,0,0,2022,2022-12-05 18:20:00,2022-12-05 18:55:00,1
December,New York,Vandalism,0,0,2022,2022-12-05 09:00:00,2022-12-05 13:00:00,4
December,California,Suspicious Activity,0,0,2022,2022-12-06 09:25:00,,
December,Kentucky,Vandalism,0,0,2022,2022-12-06 08:26:00,2022-12-06 08:30:00,0
December,Georgia,Suspicious Activity,0,0,2022,2022-12-06 00:00:00,2022-12-06 00:01:00,0
December,Georgia,Suspicious Activity,0,0,2022,2022-12-06 00:00:00,2022-12-06 00:01:00,0
December,Ohio,Suspicious Activity,2600,,2022,2022-12-06 12:45:00,,
December,Pennsylvania,Suspicious Activity,1883,,2022,2022-12-06 08:15:00,2022-12-06 12:15:00,4
December,Illinois,Suspicious Activity,0,0,2022,2022-12-07 13:35:00,2022-12-07 13:40:00,0
December,North Carolina,Suspicious Activity,0,0,2022,2022-12-07 16:42:00,2022-12-07 21:00:00,4
December,Indiana,Suspicious Activity,0,0,2022,2022-12-08 12:36:00,,
December,Massachusetts,Transmission Interruption,0,0,2022,2022-12-10 01:14:00,2022-12-10 02:02:00,1
December,Missouri,Suspicious Activity,0,0,2022,2022-12-10 11:00:00,2022-12-12 06:00:00,43
December,Washington,Vandalism,10,583,2022,2022-12-13 23:59:00,2022-12-14 03:39:00,4
December,Florida,System Operations,0,0,2022,2022-12-14 10:42:00,2022-12-14 12:05:00,1
December,Indiana,Vandalism,0,0,2022,2022-12-14 11:23:00,,
December,Montana,Suspicious Activity,,,2022,2022-12-14 12:52:00,,
December,Utah,Vandalism,0,0,2022,2022-12-15 05:30:00,2022-12-15 05:31:00,0
December,Massachusetts,Severe Weather,,36600,2022,2022-12-16 23:30:00,2022-12-18 23:21:00,48
December,Texas,Suspicious Activity,0,0,2022,2022-12-17 19:45:00,2022-12-17 19:46:00,0
December,Tennessee,Transmission Interruption,3200,,2022,2022-12-22 09:04:00,2022-12-25 00:00:00,63
December,Texas,System Operations,0,0,2022,2022-12-22 21:04:00,2022-12-22 21:42:00,1
December,Texas,Suspicious Activity,0,0,2022,2022-12-23 06:04:00,2022-12-23 06:40:00,1
December,New York,Severe Weather,,57000,2022,2022-12-23 14:30:00,,
December,Connecticut,Severe Weather,,500000,2022,2022-12-23 05:20:00,,
December,North Carolina,Severe Weather,,66519,2022,2022-12-23 09:45:00,2022-12-23 17:00:00,7
December,North Carolina,Severe Weather,,108900,2022,2022-12-23 07:30:00,2022-12-23 22:13:00,15
December,Tennessee,Severe Weather,,,2022,2022-12-23 08:31:00,,
December,Alabama,Severe Weather,236,33010,2022,2022-12-23 03:03:00,2022-12-23 12:30:00,9
December,Missouri,Severe Weather,0,0,2022,2022-12-23 07:19:00,2022-12-23 07:41:00,0
December,South Carolina,Severe Weather,4615,17600,2022,2022-12-24 06:15:00,2022-12-25 09:00:00,27
December,North Carolina,System Operations,960,130000,2022,2022-12-24 06:35:00,2022-12-24 16:10:00,10
December,North Carolina,Severe Weather,1000,295000,2022,2022-12-24 04:45:00,2022-12-24 15:45:00,11
December,Alabama,Severe Weather,160,22436,2022,2022-12-24 09:00:00,2022-12-24 11:15:00,2
December,Washington,Vandalism,32,13500,2022,2022-12-25 19:25:00,2022-12-25 20:07:00,1
December,Washington,Vandalism,14,8000,2022,2022-12-25 02:42:00,2022-12-25 04:55:00,2
December,Washington,Vandalism,,,2022,2022-12-26 06:54:00,2022-12-26 08:19:00,1
December,Washington,Severe Weather,,230000,2022,2022-12-26 08:30:00,2022-12-28 21:00:00,60
December,Washington,Vandalism,0,0,2022,2022-12-27 08:00:00,2022-12-27 08:30:00,0
December,California,Vandalism,0,0,2022,2022-12-27 13:30:00,2022-12-27 21:16:00,8
December,Oregon,Severe Weather,,83060,2022,2022-12-27 10:12:00,,
December,Washington,Severe Weather,11,11600,2022,2022-12-27 20:40:00,2022-12-27 20:41:00,0
December,California,Suspicious Activity,,,2022,2022-12-27 07:07:00,2022-12-29 11:10:00,52
December,California,Vandalism,0,0,2022,2022-12-27 07:20:00,2022-12-27 11:22:00,4
December,Washington,Vandalism,0,0,2022,2022-12-29 13:14:00,2022-12-29 13:55:00,1
December,Ohio,Vandalism,2600,,2022,2022-12-29 16:00:00,,
December,Oregon,Transmission Interruption,0,0,2022,2022-12-30 05:25:00,2022-12-30 14:17:00,9
December,Minnesota,Transmission Interruption,,,2022,2022-12-30 17:04:00,,
December,Nevada,Severe Weather,,3500,2022,2022-12-31 20:00:00,2023-01-03 00:00:00,52
December,California,Severe Weather,,161000,2022,2022-12-31 19:00:00,2023-01-01 06:00:00,11
January,California,Vandalism,0,0,2023,2023-01-01 00:06:00,2023-01-01 03:57:00,4
January,California,System Operations,0,0,2023,2023-01-01 09:55:00,2023-01-01 10:30:00,1
January,Florida,Vandalism,19,3509,2023,2023-01-01 14:47:00,2023-01-01 16:50:00,2
January,Texas,Vandalism,0,0,2023,2023-01-02 16:12:00,2023-01-03 09:30:00,17
January,New Mexico,Vandalism,432,0,2023,2023-01-02 03:16:00,2023-01-02 16:46:00,14
January,Arkansas,Severe Weather,20,6849,2023,2023-01-02 18:22:00,2023-01-02 22:27:00,4
January,Michigan,Vandalism,0,0,2023,2023-01-03 11:45:00,2023-01-03 12:00:00,0
January,Louisiana,Transmission Interruption,23,1631,2023,2023-01-05 08:19:00,2023-01-05 08:20:00,0
January,Washington,Suspicious Activity,0,0,2023,2023-01-05 07:30:00,2023-01-05 09:30:00,2
January,Ohio,Suspicious Activity,,,2023,2023-01-06 09:30:00,2023-01-06 11:30:00,2
January,California,Severe Weather,458,185434,2023,2023-01-07 22:00:00,2023-01-08 21:00:00,23
January,Texas,Transmission Interruption,20,9823,2023,2023-01-07 23:44:00,2023-01-08 02:29:00,3
January,Texas,Vandalism,0,0,2023,2023-01-08 18:40:00,2023-01-08 18:54:00,0
January,California,Suspicious Activity,0,0,2023,2023-01-12 10:00:00,,
January,Alabama,Severe Weather,1158,162000,2023,2023-01-12 14:00:00,2023-01-13 03:00:00,13
January,Washington,Vandalism,,,2023,2023-01-12 11:58:00,2023-01-12 12:30:00,1
January,Texas,Suspicious Activity,0,0,2023,2023-01-13 00:00:00,2023-01-13 01:00:00,1
January,South Carolina,Suspicious Activity,,,2023,2023-01-19 11:00:00,2023-01-19 13:00:00,2
January,Michigan,Vandalism,,0,2023,2023-01-20 10:45:00,,
January,Connecticut,Severe Weather,,41000,2023,2023-01-23 07:05:00,2023-01-24 17:17:00,34
January,California,Suspicious Activity,,,2023,2023-01-23 17:00:00,,
January,California,Suspicious Activity,,,2023,2023-01-23 09:21:00,,
January,Louisiana,Vandalism,0,0,2023,2023-01-24 14:00:00,2023-01-24 15:00:00,1
January,New York,Suspicious Activity,0,0,2023,2023-01-24 17:10:00,2023-01-24 17:20:00,0
January,Texas,Severe Weather,,100731,2023,2023-01-24 15:25:00,2023-01-26 20:20:00,53
January,Washington,Vandalism,0,0,2023,2023-01-25 22:30:00,2023-01-26 00:01:00,2
January,Texas,Suspicious Activity,0,0,2023,2023-01-25 15:57:00,2023-01-25 17:38:00,2
January,Arkansas,Severe Weather,,60958,2023,2023-01-25 03:30:00,2023-01-25 13:00:00,10
January,Washington,Vandalism,0,0,2023,2023-01-26 07:00:00,2023-01-26 14:46:00,8
January,Illinois,Suspicious Activity,0,0,2023,2023-01-28 04:00:00,2023-01-28 05:00:00,1
January,Kentucky,System Operations,0,0,2023,2023-01-29 08:19:00,2023-01-29 11:07:00,3
January,Minnesota,Suspicious Activity,,,2023,2023-01-30 10:30:00,,
January,Texas,Severe Weather,,360000,2023,2023-01-31 08:15:00,2023-02-06 17:00:00,153
February,Texas,Severe Weather,370,173879,2023,2023-02-01 05:00:00,2023-02-04 22:39:00,90
February,Colorado,Vandalism,0,0,2023,2023-02-02 22:07:00,2023-02-03 16:08:00,18
February,Pennsylvania,Suspicious Activity,0,0,2023,2023-02-02 11:00:00,,
February,Arkansas,Severe Weather,,74426,2023,2023-02-02 08:15:00,2023-02-02 19:45:00,12
February,Maryland,Suspicious Activity,0,0,2023,2023-02-02 14:37:00,2023-02-02 14:47:00,0
February,Oregon,Vandalism,0,0,2023,2023-02-03 16:00:00,2023-02-03 16:45:00,1
February,Ohio,Vandalism,2000,,2023,2023-02-04 11:14:00,2023-02-04 12:55:00,2
February,Florida,System Operations,0,0,2023,2023-02-06 17:06:00,2023-02-06 17:31:00,0
February,Maryland,Suspicious Activity,0,0,2023,2023-02-06 10:00:00,2023-02-06 10:02:00,0
February,Wisconsin,System Operations,0,0,2023,2023-02-07 13:34:00,2023-02-07 14:06:00,1
February,Illinois,Suspicious Activity,0,0,2023,2023-02-07 06:15:00,2023-02-07 06:20:00,0
